Nationality ,FIFA Ranking ,National Team Kit Sponsor,Position,National Team Jersey Number,Player DOB,Club ,Player Name , Appearances,Goals Scored ,Assists Provided ,Dribbles per 90,Interceptions per 90,Tackles per 90,Total Duels Won per 90,Save Percentage,Clean Sheets,Brand Sponsor/Brand Used
France,3,Nike,DF,24,"May 25, 1999",Liverpool,Ibrahima Konate,5,0,0,0.00,2.16,4.62,8.94,-,-,Nike 
France,3,Nike,DF,18,"Oct 27, 1998",Bayern Munich,Dayot Upamecano,5,0,0,0.00,1.12,2.06,5.25,-,-,Nike
France,3,Nike,MF,14,"Apr 3, 1995",Juventus,Adrien Rabiot,6,1,1,0.75,1.86,2.24,8.95,-,-,Nike
France,3,Nike,MF,8,"Jan 27, 2000",Real Madrid,Aurelien Tchouaméni,7,1,0,0.72,2.02,1.59,4.91,-,-,Nike
France,3,Nike,MF,19,"Jan 10, 1999",Monaco,Youssouf Fofana,6,0,0,0.80,1.21,3.21,5.22,-,-,Adidas
France,3,Nike,MF,6,"Apr 14, 1999",Marseille,Matteo Guendouzi,1,0,0,0.00,0.00,1.14,4.56,-,-,Adidas
France,3,Nike,MF,15,"Mar 1, 1999",Marseille,Jordan Veretout,1,0,0,0.00,0.00,2.86,2.86,-,-,Adidas
France,3,Nike,MF,25,"Nov 10, 2002",Real Madrid,Eduardo Camavinga,2,0,0,1.94,1.94,9.06,17.48,-,-,Nike
France,3,Nike,FW,20,"Jun 13, 1996",Bayern Munich,Kingsley Coman,6,0,0,4.91,1.64,1.64,8.73,-,-,Puma
France,3,Nike,FW,10,"Dec 20, 1998",PSG,Kylian Mbappe,7,8,2,7.24,0.00,0.00,5.12,-,-,Nike
France,3,Nike,FW,9,"Sept 30, 1986",AC Milan,Olivier Giroud,6,4,0,0.00,0.21,0.21,9.12,-,-,Puma
France,3,Nike,FW,7,"Mar 21, 1991",Atletico Madrid,Antoine Griezmann,7,0,3,1.51,1.34,2.34,6.19,-,-,Puma
France,3,Nike,FW,11,"May 15, 1997",Barcelona,Ousmane Dembele,7,0,2,3.90,0.62,2.47,5.75,-,-,Nike
France,3,Nike,FW,12,"Dec 5, 1998",Eintracht Frankfurt,Randal Kolo Muani,3,1,0,3.50,0.50,3.50,16.50,-,-,Nike
France,3,Nike,FW,26,"Aug 6, 1997",Borussia Monchengladbach,Marcus Thuram,5,1,2,5.55,0.00,1.85,18.49,-,-,Nike
Croatia,7,Nike,GK,1,"Jan 9, 1995",Dinamo Zagreb,Dominik Livakovic,7,-,-,-,-,-,0.26,78.12%,28%,Adidas
Croatia,7,Nike,GK,23,"Feb 1, 1995",Osijek,Ivica Ivusic,-,-,-,-,-,-,-,-,-,Nike
Croatia,7,Nike,GK,12,"Jan 18, 1996",Atletico Madrid,Ivo Grbic,-,-,-,-,-,-,-,-,-,Nike
Croatia,7,Nike,DF,21,"Apr 29, 1989",AEK Athens,Domagoj Vida,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Croatia,7,Nike,DF,6,"Jul 5, 1989",Zenit,Dejan Lovren,6,0,1,0.00,1.38,0.90,6.34,-,-,Puma
Croatia,7,Nike,DF,3,"Nov 10, 1992",Rangers,Borna Barisic,1,0,0,0.00,0.00,0.75,11.25,-,-,Nike
Croatia,7,Nike,DF,22,"Aug 16, 1995",Celtic,Josip Juranovic,6,0,1,0.30,0.30,1.80,3.15,-,-,Adidas
Croatia,7,Nike,DF,19,"Jan 21, 1998",Stuttgart,Borna Sosa,5,0,0,0.85,0.42,2.96,5.50,-,-,Adidas
Croatia,7,Nike,DF,20,"Jan 23, 2002",RB Leipzig,Josko Gvardiol,7,1,0,0.13,1.57,1.30,3.00,-,-,Adidas
Croatia,7,Nike,DF,2,"Apr 2, 2000",Bayern Munich,Josip Stanisic,1,0,0,0.00,1.00,3.00,7.00,-,-,Adidas
Croatia,7,Nike,DF,5,"Jan 24, 1998",Sassuolo,Martin Erlic,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Croatia,7,Nike,DF,24,"Feb 28, 2000",Dinamo Zagreb,Josip Sutalo,1,0,0,0.00,0.00,0.00,0.00,-,-,Adidas
Croatia,7,Nike,MF,10,"Sep 9, 1985",Real Madrid,Luka Modric,7,0,0,1.37,1.23,2.06,5.35,-,-,Nike
Croatia,7,Nike,MF,8,"May 6, 1994",Chelsea,Mateo Kovacic,7,0,0,2.39,0.56,3.38,7.31,-,-,Nike
Croatia,7,Nike,MF,11,"Nov 16, 1992",Inter,Marcelo Brozovic,6,0,0,0.97,0.65,2.11,6.01,-,-,Nike
Croatia,7,Nike,MF,15,"Feb 9, 1995",Atalanta,Mario Pasalic,7,0,0,1.35,1.01,2.36,7.08,-,-,Adidas
Croatia,7,Nike,MF,13,"Oct 4, 1997",Torino,Nikola Vlasic,6,0,0,2.18,0.44,0.44,6.11,-,-,Nike
Croatia,7,Nike,MF,7,"Jan 17, 1998",Rennes,Lovro Majer,7,1,0,1.43,0.71,2.14,4.29,-,-,Nike
Croatia,7,Nike,MF,26,"May 14, 1997",Eintracht Frankfurt,Kristijan Jakic,1,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Croatia,7,Nike,MF,25,"Sep 8, 2002",Red Bull Salzburg,Luka Sucic,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Croatia,7,Nike,FW,4,"Feb 2, 1989",Tottenham,Ivan Perisic,7,1,3,1.61,0.94,0.80,6.03,-,-,Nike
Croatia,7,Nike,FW,9,"Jun 19, 1991",Hoffenheim,Andrej Kramaric,7,2,0,1.31,0.00,0.56,2.06,-,-,Adidas
Croatia,7,Nike,FW,16,"Sep 16, 1997",Dinamo Zagreb,Bruno Petkovic,6,1,0,1.17,0.00,2.35,14.48,-,-,Nike
Croatia,7,Nike,FW,18,"Dec 29, 1992",Dinamo Zagreb,Mislav Orsic,6,1,2,1.71,0.00,1.71,2.28,-,-,Nike
Croatia,7,Nike,FW,17,"Jul 22, 1991",Osasuna,Ante Budimir,2,0,0,0.00,0.00,1.67,N.A,-,-,Puma
Croatia,7,Nike,FW,14,"Aug 26, 1993",Hajduk Split,Marko Livaja,6,1,1,0.75,0.37,0.37,4.48,-,-,Adidas
Morocco ,11,Puma,GK,1,"Apr 5, 1991",Sevilla,Yassine Bounou,6,-,-,-,-,-,0.64,58.33%,50%,Nike
Morocco ,11,Puma,GK,12,"May 10, 1989",Al Wehda,Munir Mohamedi,1,-,-,-,-,-,-,100%,100%,Nike
Morocco ,11,Puma,GK,22,"Apr 5, 1996",Wydad AC,Ahmed Reda Tagnaouti,0,-,-,-,-,-,-,0,0,Nike
Morocco ,11,Puma,DF,2,"Nov 4, 1998",PSG,Achraf Hakimi,7,0,1,1.56,1.28,3.84,7.39,-,-,Adidas
Morocco ,11,Puma,DF,3,"Nov 14, 1997",Bayern Munich,Noussair Mazraoui,5,0,0,0.98,0.24,3.42,4.40,-,-,Nike
Morocco ,11,Puma,DF,5,"Mar 30, 1996",West Ham,Nayef Aguerd,4,0,0,0.00,0.76,1.02,3.56,-,-,Adidas
Morocco ,11,Puma,DF,6,"Mar 26, 1990",Besiktas,Roman Saiss,6,0,0,0.19,0.58,0.77,3.47,-,-,Nike
Morocco ,11,Puma,DF,20,"May 6, 1999",Brest,Achraf Dari,3,1,0,0.00,2.89,0.48,5.78,-,-,Nike
Morocco ,11,Puma,DF,25,"Mar 2, 1995",Wydad AC,Yahia Attiyat Allah,6,0,1,0.29,0.00,1.15,2.01,-,-,Nike
Morocco ,11,Puma,DF,24,"Sep 30, 1993",Qatar SC,Badr Benoun,3,0,0,0.00,1.76,0.00,0.00,-,-,Nike
Morocco ,11,Puma,DF,18,"Feb 29, 1992",Valladolid,Jawad El Yamiq,6,0,0,0.00,1.46,1.17,5.26,-,-,Puma
Morocco ,11,Puma,MF,4,"Aug 21, 1996",Fiorentina,Sofyan Amrabat,7,0,0,0.14,0.82,2.32,3.68,-,-,Adidas
Morocco ,11,Puma,MF,11,"Nov 28, 1996",Sampdoria,Abdelhamid Sabiri,5,1,0,1.50,2.50,1.50,4.00,-,-,Nike
Morocco ,11,Puma,MF,15,"Nov 15, 1996",Standard Liege,Selim Amallah,7,0,0,0.66,1.76,2.85,6.37,-,-,Nike
Morocco ,11,Puma,MF,8,"Apr 19, 2000",Angers,Azzedine Ounahi,7,0,0,1.89,0.95,1.26,5.21,-,-,Adidas
Morocco ,11,Puma,MF,23,"May 10, 2004",Genk,Bilal El Khannous,1,0,0,0.00,0.00,0.00,1.61,-,-,Adidas
Morocco ,11,Puma,MF,26,"Jun 18, 1991",Wydad AC,Yahya Jabrane,2,0,0,0.00,0.00,0.00,0.00,-,-,Adidas
Morocco ,11,Puma,FW,7,"Mar 19, 1993",Chelsea,Hakim Ziyech,7,1,1,3.67,1.27,1.41,4.65,-,-,Nike
Morocco ,11,Puma,FW,17,"Sep 17, 1993",Angers,Sofiane Boufal,7,0,0,4.11,0.37,1.87,8.03,-,-,Nike
Morocco ,11,Puma,FW,14,"Feb 18, 2000",Toulouse,Zakaria Aboukhlal,4,1,0,1.23,1.23,0.00,4.94,-,-,Adidas
Morocco ,11,Puma,FW,10,"Nov 7, 2000",Burnley,Anass Zaroury,1,0,0,N.A,N.A,N.A,N.A,-,-,Puma
Morocco ,11,Puma,FW,16,"Dec 17, 2001", Osasuna,Abde Ezzalzouli,3,0,0,N.A,N.A,N.A,N.A,-,-,Adidas
Morocco ,11,Puma,FW,13,"Oct 30, 1997",QPR,Ilias Chair,1,0,0,2.05,0.00,2.05,2.05,-,-,Nike
Morocco ,11,Puma,FW,19,"Jun 1, 1997",Sevilla,Youssef En-Nesyri,7,2,0,1.15,0.16,0.66,8.23,-,-,Adidas
Morocco ,11,Puma,FW,21,"Jan 22, 1998",Bari,Walid Cheddira,2,0,0,1.43,0.00,1.43,7.15,-,-,Lotto
Morocco ,11,Puma,FW,9,"Dec 17, 1990",Al-Ittihad,Abderrazak Hamdallah,4,0,0,4.22,0.00,1.41,N.A,-,-,Nike
Netherlands ,6,Nike,GK,13,"Jan 22, 1998",Feyenoord,Justin Bijlow,0,-,-,-,-,-,-,-,-,Adidas
Netherlands ,6,Nike,GK,1,"Nov 8, 1983",Ajax,Remko Pasveer,0,-,-,-,-,-,-,-,-,Adidas
Netherlands ,6,Nike,GK,23,"Apr 7, 1994",Heerenveen,Andries Noppert,5,-,-,-,-,-,-,81.82%,40%,Nike
Netherlands ,6,Nike,DF,17,"Mar 9, 1990",Ajax,Daley Blind,5,1,1,0.42,1.06,2.76,4.88,-,-,Adidas
Netherlands ,6,Nike,DF,6,"Feb 5, 1992",Inter,Stefan de Vrij,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Netherlands ,6,Nike,DF,4,"Jul 8, 1991",Liverpool,Virgil van Dijk,5,0,0,0.00,0.75,0.38,9.00,-,-,Nike
Netherlands ,6,Nike,DF,3,"Aug 12, 1999",Bayern Munich,Matthijs de Ligt,2,0,0,0.00,0.00,0.00,9.00,-,-,Nike
Netherlands ,6,Nike,DF,22,"Apr 18, 1996",Inter,Denzel Dumfries,5,1,2,1.12,1.31,1.50,6.19,-,-,Adidas
Netherlands ,6,Nike,DF,5,"Feb 18, 1995",Manchester City,Nathan Ake,5,0,0,0.00,1.50,1.12,6.00,-,-,Nike
Netherlands ,6,Nike,DF,2,"Jun 17, 2001",Ajax,Jurrien Timber,4,0,0,N.A,N.A,N.A,N.A,-,-,Nike
Netherlands ,6,Nike,DF,16,"Jun 17, 1999",Manchester United,Tyrell Malacia,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Netherlands ,6,Nike,DF,26,"Dec 10, 2000",Bayer Leverkusen,Jeremie Frimpong,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Puma
Netherlands ,6,Nike,MF,21,"May 12, 1997",Barcelona,Frenkie de Jong,5,1,1,1.13,1.13,2.65,7.18,-,-,Nike
Netherlands ,6,Nike,MF,11,"Dec 19, 1991",Ajax,Steven Berghuis,4,0,1,1.82,0.00,0.91,2.27,-,-,Nike
Netherlands ,6,Nike,MF,15,"Mar 29, 1991",Atalanta,Maarten de Roon,5,0,0,0.00,0.98,3.42,7.34,-,-,Adidas
Netherlands ,6,Nike,MF,20,"Feb 28, 1998",Atalanta,Teun Koopmeiners,5,0,1,0.41,1.24,4.15,9.12,-,-,Adidas
Netherlands ,6,Nike,MF,24,"May 16, 2002",Ajax,Kenneth Taylor,1,0,0,0.00,0.00,0.00,0.00,-,-,Adidas
Netherlands ,6,Nike,MF,25,"Apr 21, 2003",PSV,Xavi Simons,1,0,0,0.00,12.86,0.00,N.A,-,-,Nike
Netherlands ,6,Nike,MF,14,"February 21, 1993",Ajax,Davy Klaassen,4,1,2,0.47,0.47,1.41,3.75,-,-,Nike
Netherlands ,6,Nike,FW,10,"Feb 13, 1994",Barcelona,Memphis Depay,2,1,0,3.88,0.00,1.55,6.21,-,-,Puma
Netherlands ,6,Nike,FW,9,"Aug 27, 1990",PSV,Luuk de Jong,1,0,0,0.00,0.00,3.21,14.46,-,-,Adidas
Netherlands ,6,Nike,FW,7,"Oct 8, 1997",Ajax,Steven Bergwijn,4,0,0,0.84,0.00,0.42,2.09,-,-,Adidas
Netherlands ,6,Nike,FW,18,"Jun 15, 1994",Antwerp,Vincent Janssen,2,0,0,0.00,0.00,2.09,6.28,-,-,Nike
Netherlands ,6,Nike,FW,19,"Aug 7, 1992",Besiktas,Wout Weghorst,4,2,0,0.00,0.00,0.00,4.43,-,-,Adidas
Netherlands ,6,Nike,FW,8,"May 7, 1999",PSV,Cody Gakpo,5,3,0,1.78,0.59,1.59,5.35,-,-,Puma
Netherlands ,6,Nike,FW,12,"Jun 17, 1999",Club Brugge,Noa Lang,1,0,0,0.00,12.86,0.00,0.00,-,-,Adidas
England,5,Nike,GK,1,"Mar 7, 1994",Everton,Jordan Pickford,5,-,-,-,-,-,-,63.64%,60%,Puma
England,5,Nike,GK,13,"Apr 19, 1992",Newcastle United,Nick Pope,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
England,5,Nike,GK,23,"May 14, 1998",Arsenal,Aaron Ramsdale,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
England,5,Nike,DF,18,"Oct 7, 1998",Liverpool,Trent Alexander-Arnold,1,0,0,0.00,0.00,0.00,0.00,-,-,Under Armour
England,5,Nike,DF,16,"Feb 25, 1993",Everton,Conor Coady,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
England,5,Nike,DF,15,"Jan 15, 1994",Tottenham,Eric Dier,2,0,0,0.00,0.00,2.65,7.94,-,-,Nike
England,5,Nike,DF,6,"Mar 5, 1993",Manchester United,Harry Maguire,5,0,1,0.42,0.84,1.47,8.16,-,-,Puma
England,5,Nike,DF,3,"Jul 12, 1995",Manchester United,Luke Shaw,5,0,1,0.42,1.06,0.64,3.18,-,-,Adidas
England,5,Nike,DF,5,"May 28, 1994",Manchester City,John Stones,5,0,0,0.21,0.21,0.41,3.30,-,-,Nike
England,5,Nike,DF,12,"Sep 19, 1990",Newcastle United,Kieran Trippier,3,0,0,0.88,0.44,2.63,6.59,-,-,Adidas
England,5,Nike,DF,2,"May 28, 1990",Manchester City,Kyle Walker,3,0,0,0.76,0.76,1.14,6.08,-,-,Puma
England,5,Nike,MF,22,"Jun 29, 2003",Borussia Dortmund,Jude Bellingham,5,1,1,3.04,1.30,3.26,8.26,-,-,Adidas
England,5,Nike,MF,26,"Feb 6, 2000",Chelsea,Conor Gallagher,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
England,5,Nike,MF,8,"Jun 17, 1990",Liverpool,Jordan Henderson,4,1,0,0.00,0.33,1.32,3.96,-,-,Nike
England,5,Nike,MF,19,"Jan 10, 1999",Chelsea,Mason Mount,4,0,0,1.45,0.00,0.97,6.29,-,-,Nike
England,5,Nike,MF,14,"Dec 2, 1995",Manchester City,Kalvin Phillips,2,0,1,0.00,0.00,0.00,0.00,-,-,Adidas
England,5,Nike,MF,4,"Jan 14, 1999",West Ham United,Declan Rice,5,0,0,0.43,2.37,1.29,3.02,-,-,Adidas
England,5,Nike,MF,20,"May 28, 2000",Manchester City,Phil Foden,4,1,2,1.39,0.35,0.35,4.86,-,-,Nike
England,5,Nike,MF,7,"Sep 10, 1995",Manchester City,Jack Grealish,5,1,0,5.49,3.29,3.29,17.56,-,-,Nike
England,5,Nike,FW,9,"Jul 28, 1993",Tottenham,Harry Kane,5,2,3,1.57,0.00,0.45,6.94,-,-,Nike
England,5,Nike,FW,25,"Nov 13, 1996",Leicester City,James Maddison,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Puma
England,5,Nike,FW,11,"Oct 31, 1997",Manchester United,Marcus Rashford,5,3,0,5.26,0.66,0.66,4.60,-,-,Nike
England,5,Nike,FW,17,"Sep 5, 2001",Arsenal,Bukayo Saka,4,3,0,2.47,0.62,2.16,5.24,-,-,New Balance
England,5,Nike,FW,10,"Dec 8, 1994",Chelsea,Raheem Sterling,3,1,1,1.81,0.60,0.60,4.22,-,-,New Balance
England,5,Nike,FW,24,"Feb 27, 1992",Newcastle United,Callum Wilson,2,0,1,0.00,0.00,0.00,0.00,-,-,Nike
Brazil,1,Nike,GK,1,"Oct 2, 1992",Liverpool,Alisson,4,-,-,-,-,-,-,71.43%,50%,Nike
Brazil,1,Nike,GK,23,"Aug 17, 1993",Manchester City,Ederson,1,-,-,-,-,-,-,66.67%,0%,Puma
Brazil,1,Nike,GK,12,"Dec 13, 1987",Palmeiras,Weverton,1,-,-,-,-,-,-,0%,0%,Puma
Brazil,1,Nike,DF,13,"May 6, 1983",UNAM,Dani Alves,2,0,0,0.77,1.54,3.85,7.69,-,-,Adidas
Brazil,1,Nike,DF,3,"Sep 22, 1984",Chelsea,Thiago Silva,4,0,1,0.00,1.15,0.69,4.15,-,-,Puma
Brazil,1,Nike,DF,4,"May 14, 1994",PSG,Marquinhos,5,0,0,0.21,0.42,1.06,3.39,-,-,Nike
Brazil,1,Nike,DF,2,"Jul 15, 1991",Juventus,Danilo,3,0,0,0.00,0.96,1.60,4.47,-,-,Nike
Brazil,1,Nike,DF,6,"Jan 26, 1991",Juventus,Alex Sandro,3,0,0,0.95,1.42,3.79,7.11,-,-,Puma
Brazil,1,Nike,DF,14,"Jan 18, 1998",Real Madrid,Eder Militao,4,0,0,0.00,0.77,1.55,4.38,-,-,Adidas
Brazil,1,Nike,DF,16,"Dec 15, 1992",Sevilla,Alex Telles,1,0,0,0.00,0.00,3.10,6.21,-,-,Adidas
Brazil,1,Nike,DF,24,"Mar 18, 1997",Juventus,Bremer,2,0,0,0.00,0.83,0.83,9.17,-,-,Puma
Brazil,1,Nike,MF,5,"Feb 23, 1992",Manchester United,Casemiro,4,1,0,0.46,1.38,2.54,4.84,-,-,Nike
Brazil,1,Nike,MF,7,"Aug 27, 1997",West Ham,Lucas Paqueta,4,1,1,0.28,0.61,2.58,8.65,-,-,Nike
Brazil,1,Nike,MF,15,"Oct 23, 1993",Liverpool,Fabinho,1,0,0,0.00,1.00,3.00,5.00,-,-,Adidas
Brazil,1,Nike,MF,8,"Mar 5, 1993",Manchester United,Fred,4,0,0,0.64,0.00,1.28,3.83,-,-,Nike
Brazil,1,Nike,MF,22,"Apr 10, 1989",Flamengo,Everton Ribeiro,1,0,0,2.50,0.00,2.50,2.50,-,-,Nike
Brazil,1,Nike,MF,17,"Nov 16, 1997",Newcastle United,Bruno Guimaraes,2,0,0,2.50,0.00,0.00,5.00,-,-,Adidas
Brazil,1,Nike,FW,10,"Feb 5, 1992",PSG,Neymar,3,2,1,5.81,0.32,0.32,7.10,-,-,Puma
Brazil,1,Nike,FW,18,"Apr 3, 1997",Arsenal,Gabriel Jesus,3,0,0,1.96,1.96,1.96,8.81,-,-,Adidas
Brazil,1,Nike,FW,9,"May 10, 1997",Tottenham,Richarlison,4,3,0,1.10,0.28,0.55,4.41,-,-,Nike
Brazil,1,Nike,FW,20,"Jul 12, 2000",Real Madrid,Vinicius Jr,4,1,2,3.89,0.00,1.20,4.49,-,-,Nike
Brazil,1,Nike,FW,19,"Feb 24, 2000",Manchester United,Antony,4,0,0,6.84,0.53,1.58,6.85,-,-,Puma
Brazil,1,Nike,FW,11,"Dec 14, 1996",Barcelona,Raphinha,5,0,0,2.84,0.85,2.27,4.54,-,-,Adidas
Brazil,1,Nike,FW,21,"Jan 9, 2001",Real Madrid,Rodrygo,5,0,1,3.02,1.01,2.01,5.53,-,-,Nike
Brazil,1,Nike,FW,26,"Jun 18, 2001",Arsenal,Gabriel Matinelli,2,0,0,5.68,0.00,1.62,6.49,-,-,Adidas
Brazil,1,Nike,FW,25,"Jun 20, 1997",Flamengo,Pedro,2,0,0,0.00,1.45,2.90,14.51,-,-,Adidas
Portugal,9,Nike,GK,22,"September 19, 1999",Porto,Diogo Costa,5,-,-,-,-,-,-,64.17%,20%,Adidas
Portugal,9,Nike,GK,1,"February 15, 1988",Roma,Rui Patricio,0,-,-,-,-,-,-,-,-,Puma
Portugal,9,Nike,GK,12,"January 17, 1993",Wolves,Jose Sa,0,-,-,-,-,-,-,-,-,Adidas
Portugal,9,Nike,DF,2,"March 18, 1999",Manchester United,Diogo Dalot,3,0,1,0.69,0.69,2.78,7.64,-,-,Nike
Portugal,9,Nike,DF,13,"September 9, 1991",PSG,Danilo Pereira,1,0,0,1.00,3.00,1.00,14.00,-,-,Nike
Portugal,9,Nike,DF,3,"February 26, 1983",Porto,Pepe,4,1,0,0.25,1.50,1.25,7.25,-,-,Adidas
Portugal,9,Nike,DF,4,"May 14, 1997",Manchester City,Ruben Dias,4,0,0,0.00,0.75,0.75,3.75,-,-,Nike
Portugal,9,Nike,DF,24,"30 October, 2003",Benfica,Antonio Silva,1,0,0,0.00,1.00,1.00,5.00,-,-,Adidas
Portugal,9,Nike,DF,19,"June 19, 2002",PSG,Nuno Mendes,1,0,0,4.29,4.29,0.00,12.85,-,-,Adidas
Portugal,9,Nike,DF,20,"May 27, 1994",Manchester City,Joao Cancelo,4,0,0,2.62,0.58,2.04,10.19,-,-,Nike
Portugal,9,Nike,DF,5,"December 22, 1993",Borussia Dortmund,Raphael Guerreiro,4,1,2,0.65,0.97,0.97,3.23,-,-,Adidas
